Shapefile LGA,Mapped Full Name
alpine,Alpine Shire Council
ballarat,Ballarat City Council
banyule,Banyule City Council
bass coast,Bass Coast Shire Council
baw baw,Baw Baw Shire Council
boroondara,Boroondara City Council
brimbank,Brimbank City Council
buloke,Buloke Shire Council
campaspe,Campaspe Shire Council
cardinia,Cardinia Shire Council
casey,Casey City Council
central goldfields,Central Goldfields Shire Council
corangamite,Corangamite Shire Council
darebin,Darebin City Council
east gippsland,East Gippsland Shire Council
frankston,Frankston City Council
gannawarra,Gannawarra Shire Council
glen eira,Glen Eira City Council
glenelg,Glenelg Shire Council
golden plains,Golden Plains Shire Council
greater bendigo,Greater Bendigo City Council
greater dandenong,Greater Dandenong City Council
greater geelong,Greater Geelong City Council
greater shepparton,Greater Shepparton City Council
hepburn,Hepburn Shire Council
hindmarsh,Hindmarsh Shire Council
hobsons bay,Hobsons Bay City Council
hume,Hume City Council
indigo,Indigo Shire Council
knox,Knox City Council
loddon,Loddon Shire Council
macedon ranges,Macedon Ranges Shire Council
manningham,Manningham City Council
mansfield,Mansfield Shire Council
maribyrnong,Maribyrnong City Council
maroondah,Maroondah City Council
melbourne,Melbourne City Council
melton,Melton City Council
merri-bek,Merri-Bek City Council
mitchell,Mitchell Shire Council
moira,Moira Shire Council
monash,Monash City Council
moonee valley,Moonee Valley City Council
moorabool,Moorabool Shire Council
mornington peninsula,Mornington Peninsula Shire Council
mount alexander,Mount Alexander Shire Council
moyne,Moyne Shire Council
murrindindi,Murrindindi Shire Council
nillumbik,Nillumbik Shire Council
northern grampians,Northern Grampians Shire Council
port phillip,Port Phillip City Council
pyrenees,Pyrenees Shire Council
south gippsland,South Gippsland Shire Council
southern grampians,Southern Grampians Shire Council
stonnington,Stonnington City Council
strathbogie,Strathbogie Shire Council
surf coast,Surf Coast Shire Council
towong,Towong Shire Council
warrnambool,Warrnambool City Council
wellington,Wellington Shire Council
west wimmera,West Wimmera Shire Council
whitehorse,Whitehorse City Council
whittlesea,Whittlesea City Council
wodonga,Wodonga City Council
wyndham,Wyndham City Council
yarra,Yarra City Council
yarra ranges,Yarra Ranges Shire Council
yarriambiack,Yarriambiack Shire Council
